1,9,24,0,1
2,14,25,0,1
3,9,24,0,1
4,13,24,0,1
5,15,24,0,1
6,24,20,1,0
7,9,24,0,1
8,13,25,0,1
9,16,24,0,1
10,6,24,0,1
11,20,24,0,1
12,23,24,0,1
13,5,24,0,1
14,18,25,0,1
15,18,25,0,1
16,9,26,0,1
17,21,24,0,1
18,17,25,0,1
19,24,20,1,0
20,23,24,0,1
21,20,24,0,1
22,13,24,0,1
23,14,24,0,1
24,18,24,0,1
25,16,24,0,1
26,15,24,0,1
27,11,24,0,1
28,24,18,1,0
29,18,24,0,1
30,24,20,1,0
31,12,25,0,1
32,15,24,0,1
33,11,24,0,1
34,10,24,0,1
35,16,24,0,1
36,17,24,0,1
37,14,24,0,1
38,13,24,0,1
39,13,24,0,1
40,24,21,1,0
41,27,21,1,0
42,24,18,1,0
43,16,24,0,1
44,20,24,0,1
45,17,24,0,1
46,13,24,0,1
47,20,24,0,1
48,17,24,0,1
49,24,13,1,0
50,15,26,0,1
