1,15,25,0,1
2,13,24,0,1
3,24,23,1,0
4,24,16,1,0
5,21,24,0,1
6,24,18,1,0
7,24,18,1,0
8,24,18,1,0
9,24,13,1,0
10,14,24,0,1
11,14,24,0,1
12,21,24,0,1
13,6,24,0,1
14,23,24,0,1
15,24,19,1,0
16,13,24,0,1
17,24,15,1,0
18,24,19,1,0
19,25,12,1,0
20,24,15,1,0
21,24,14,1,0
22,17,24,0,1
23,17,26,0,1
24,22,24,0,1
25,16,24,0,1
26,18,24,0,1
27,25,17,1,0
28,24,16,1,0
29,24,15,1,0
30,24,10,1,0
31,11,24,0,1
32,12,24,0,1
33,14,24,0,1
34,24,18,1,0
35,12,24,0,1
36,14,24,0,1
37,24,16,1,0
38,15,24,0,1
39,13,24,0,1
40,24,14,1,0
41,23,24,0,1
42,22,24,0,1
43,15,24,0,1
44,24,18,1,0
45,24,13,1,0
46,24,14,1,0
47,25,19,1,0
48,16,24,0,1
49,24,11,1,0
50,24,20,1,0
