1,15,24,0,1
2,19,24,0,1
3,18,24,0,1
4,20,24,0,1
5,21,24,0,1
6,23,24,0,1
7,18,24,0,1
8,13,24,0,1
9,16,24,0,1
10,19,24,0,1
11,21,24,0,1
12,15,24,0,1
13,23,24,0,1
14,19,24,0,1
15,16,25,0,1
16,14,24,0,1
17,17,24,0,1
18,14,24,0,1
19,18,24,0,1
20,18,24,0,1
21,24,23,1,0
22,20,24,0,1
23,22,24,0,1
24,18,24,0,1
25,13,24,0,1
26,21,24,0,1
27,13,24,0,1
28,24,22,1,0
29,12,24,0,1
30,21,24,0,1
31,22,24,0,1
32,20,24,0,1
33,21,24,0,1
34,18,24,0,1
35,24,21,1,0
36,17,24,0,1
37,14,24,0,1
38,21,24,0,1
39,24,20,1,0
40,21,24,0,1
41,17,24,0,1
42,15,24,0,1
43,14,24,0,1
44,16,24,0,1
45,15,24,0,1
46,18,24,0,1
47,13,24,0,1
48,23,24,0,1
49,19,24,0,1
50,20,24,0,1
