1,20,24,0,1
2,24,14,1,0
3,22,24,0,1
4,24,23,1,0
5,24,17,1,0
6,24,13,1,0
7,24,15,1,0
8,19,24,0,1
9,24,23,1,0
10,25,12,1,0
11,24,12,1,0
12,24,20,1,0
13,24,9,1,0
14,24,20,1,0
15,24,17,1,0
16,21,24,0,1
17,8,24,0,1
18,16,24,0,1
19,27,15,1,0
20,24,19,1,0
21,23,24,0,1
22,24,18,1,0
23,24,15,1,0
24,24,23,1,0
25,22,26,0,1
26,24,10,1,0
27,18,24,0,1
28,24,20,1,0
29,21,24,0,1
30,24,18,1,0
31,24,9,1,0
32,25,17,1,0
33,24,21,1,0
34,24,21,1,0
35,24,15,1,0
36,24,20,1,0
37,13,24,0,1
38,24,23,1,0
39,24,22,1,0
40,24,9,1,0
41,24,20,1,0
42,18,24,0,1
43,25,24,1,0
44,24,8,1,0
45,24,14,1,0
46,24,14,1,0
47,19,24,0,1
48,24,7,1,0
49,22,24,0,1
50,26,14,1,0
51,25,20,1,0
52,24,12,1,0
53,25,18,1,0
54,24,23,1,0
55,20,24,0,1
56,24,22,1,0
57,24,18,1,0
58,17,24,0,1
59,24,15,1,0
60,24,15,1,0
61,19,24,0,1
62,24,23,1,0
63,24,17,1,0
64,25,12,1,0
65,24,19,1,0
66,24,16,1,0
67,24,14,1,0
68,17,24,0,1
69,24,17,1,0
70,23,25,0,1
71,24,17,1,0
72,24,7,1,0
73,24,19,1,0
74,24,15,1,0
75,18,24,0,1
76,24,19,1,0
77,24,17,1,0
78,26,12,1,0
79,25,23,1,0
80,24,11,1,0
81,26,16,1,0
82,24,22,1,0
83,23,24,0,1
84,24,20,1,0
85,24,12,1,0
86,26,16,1,0
87,25,15,1,0
88,25,16,1,0
89,25,17,1,0
90,24,20,1,0
91,24,21,1,0
92,24,23,1,0
93,23,24,0,1
94,22,24,0,1
95,17,24,0,1
96,26,16,1,0
97,25,14,1,0
98,24,5,1,0
99,26,14,1,0
100,24,15,1,0
