1,13,26,0,1
2,25,14,1,0
3,19,26,0,1
4,22,24,0,1
5,25,20,1,0
6,24,17,1,0
7,25,19,1,0
8,14,24,0,1
9,14,24,0,1
10,23,24,0,1
11,24,9,1,0
12,23,24,0,1
13,24,20,1,0
14,15,24,0,1
15,19,24,0,1
16,23,24,0,1
17,15,24,0,1
18,13,24,0,1
19,24,15,1,0
20,23,24,0,1
21,26,21,1,0
22,24,14,1,0
23,24,17,1,0
24,21,24,0,1
25,15,24,0,1
26,24,17,1,0
27,24,22,1,0
28,25,14,1,0
29,24,21,1,0
30,21,24,0,1
31,25,15,1,0
32,17,24,0,1
33,24,18,1,0
34,24,22,1,0
35,24,13,1,0
36,22,24,0,1
37,10,24,0,1
38,24,22,1,0
39,12,24,0,1
40,26,21,1,0
41,20,24,0,1
42,10,24,0,1
43,19,24,0,1
44,24,23,1,0
45,24,23,1,0
46,24,16,1,0
47,17,24,0,1
48,24,11,1,0
49,13,26,0,1
50,24,14,1,0
