1,14,25,0,1
2,26,13,1,0
3,24,23,1,0
4,24,19,1,0
5,24,18,1,0
6,26,15,1,0
7,20,24,0,1
8,19,24,0,1
9,11,24,0,1
10,24,15,1,0
11,24,12,1,0
12,24,20,1,0
13,24,16,1,0
14,20,25,0,1
15,22,24,0,1
16,21,24,0,1
17,19,24,0,1
18,17,24,0,1
19,24,13,1,0
20,24,16,1,0
21,24,19,1,0
22,24,17,1,0
23,24,16,1,0
24,11,24,0,1
25,15,24,0,1
26,24,16,1,0
27,22,24,0,1
28,24,12,1,0
29,24,22,1,0
30,24,21,1,0
31,25,15,1,0
32,19,24,0,1
33,24,14,1,0
34,24,23,1,0
35,24,13,1,0
36,24,19,1,0
37,12,24,0,1
38,22,24,0,1
39,12,24,0,1
40,24,9,1,0
41,18,24,0,1
42,17,24,0,1
43,19,24,0,1
44,24,15,1,0
45,24,18,1,0
46,24,17,1,0
47,23,24,0,1
48,24,4,1,0
49,10,24,0,1
50,25,11,1,0
