1,16,26,0,1
2,24,18,1,0
3,24,22,1,0
4,24,20,1,0
5,20,24,0,1
6,25,13,1,0
7,25,22,1,0
8,14,24,0,1
9,16,24,0,1
10,24,22,1,0
11,23,24,0,1
12,24,18,1,0
13,24,14,1,0
14,20,24,0,1
15,23,24,0,1
16,12,24,0,1
17,11,24,0,1
18,23,24,0,1
19,24,16,1,0
20,19,24,0,1
21,25,17,1,0
22,23,24,0,1
23,26,19,1,0
24,26,21,1,0
25,17,24,0,1
26,22,24,0,1
27,18,24,0,1
28,24,14,1,0
29,18,24,0,1
30,24,16,1,0
31,24,15,1,0
32,22,25,0,1
33,24,13,1,0
34,24,21,1,0
35,24,20,1,0
36,24,23,1,0
37,19,24,0,1
38,21,24,0,1
39,17,24,0,1
40,24,8,1,0
41,20,24,0,1
42,8,24,0,1
43,22,24,0,1
44,24,10,1,0
45,24,18,1,0
46,24,15,1,0
47,24,19,1,0
48,24,12,1,0
49,19,24,0,1
50,26,11,1,0
