1,13,26,0,1
2,24,16,1,0
3,11,24,0,1
4,20,24,0,1
5,23,24,0,1
6,24,17,1,0
7,14,24,0,1
8,9,24,0,1
9,10,24,0,1
10,22,24,0,1
11,24,12,1,0
12,15,26,0,1
13,24,23,1,0
14,12,24,0,1
15,18,24,0,1
16,19,24,0,1
17,11,24,0,1
18,6,24,0,1
19,24,16,1,0
20,20,24,0,1
21,25,22,1,0
22,24,19,1,0
23,24,19,1,0
24,8,24,0,1
25,8,24,0,1
26,24,22,1,0
27,23,24,0,1
28,22,24,0,1
29,23,24,0,1
30,24,23,1,0
31,24,16,1,0
32,16,24,0,1
33,24,19,1,0
34,24,17,1,0
35,24,16,1,0
36,18,24,0,1
37,9,24,0,1
38,13,24,0,1
39,10,24,0,1
40,24,11,1,0
41,15,24,0,1
42,11,24,0,1
43,17,24,0,1
44,22,24,0,1
45,19,24,0,1
46,24,20,1,0
47,20,24,0,1
48,24,11,1,0
49,10,24,0,1
50,24,18,1,0
