1,21,25,0,1,,,,,,
2,24,19,1,0,,,,,,
3,24,19,1,0,,,,,,
4,24,20,1,0,,,,,,
5,24,14,1,0,,,,,,
6,25,16,1,0,,,,,,
7,26,20,1,0,,,,,,
8,24,22,1,0,,,,,,
9,23,24,0,1,,,,,,
10,24,15,1,0,,,,,,
11,24,17,1,0,,,,,,
12,24,25,0,1,,,,,,
13,24,17,1,0,,,,,,
14,24,19,1,0,,,,,,
15,22,24,0,1,,,,,,38
16,22,24,0,1,,,,,,
17,24,18,1,0,,,,,,
18,24,23,1,0,,,,,,11
19,24,19,1,0,,,,,,
20,24,20,1,0,,,,,,
21,24,15,1,0,,,,,,
22,24,16,1,0,,,,,,
23,24,16,1,0,,,,,,
24,24,20,1,0,,,,,,
25,15,24,0,1,,,,,,
26,24,16,1,0,,,,,,
27,19,24,0,1,,,,,,
28,24,15,1,0,,,,,,
29,21,24,0,1,,,,,,
30,24,16,1,0,,,,,,
31,24,21,1,0,,,,,,
32,24,22,1,0,,,,,,
33,24,16,1,0,,,,,,
34,24,16,1,0,,,,,,
35,24,16,1,0,,,,,,
36,24,17,1,0,,,,,,
37,22,24,0,1,,,,,,
38,24,17,1,0,,,,,,
39,24,16,1,0,,,,,,
40,24,16,1,0,,,,,,
41,24,19,1,0,,,,,,
42,21,25,0,1,,,,,,
43,24,23,1,0,,,,,,
44,24,20,1,0,,,,,,
45,24,21,1,0,,,,,,
46,24,24,0,0,,,,,,
48,24,15,1,0,,,,,,
49,24,17,1,0,,,,,,
50,24,21,1,0,,,,,,
47,21,24,0,1,,,,,,
